Study,Specimen,b_w_mm,d_mm,a_d_ratio,A_sw_mm2,s_mm,f_yw_MPa,theta_deg,f_c_MPa,V_E_test_kN,V_R_pred_kN,c_sh
[28],HC-2,200,303,3.3,57,130,544,19,41.9,213.0,161.3,1.32
[28],HC-3,200,303,3.3,57,170,544,30,41.9,177.0,86.5,2.05
[28],HC-4,200,303,3.3,57,240,544,28,41.9,187.5,86.5,2.17
[30],V24CC,200,303,3.3,57,240,500,22,40.2,128.0,84.6,1.51
[30],V17CC,200,303,3.3,57,170,500,24,40.2,150.8,101.9,1.48
[30],V13CC,200,303,3.3,57,130,500,26,40.2,190.3,121.6,1.56
[31],BNN-lb,220,250,3.25,57,100,234,30,30.0,115.5,68.0,1.70
[38],NAC3b,200,235,4.2,57,150,300,21,30.8,159.9,64.2,2.49
